Date,Status,Fulfilment,Sales Channel ,ship-service-level,SKU,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,B2B,SKU_freq,year,month,day,Amount_missing,weekday,is_weekend,Amount_log,ship_city_grouped,ship_city_grouped_freq
2022-04-30,Cancelled,Merchant,Amazon.in,Standard,SET389-KR-NP-S,Set,S,Unknown,0,647.62,MUMBAI,MAHARASHTRA,False,36,2022,4,30,0,5,1,6.474847029043816,MUMBAI,5952
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3781-KR-XXXL,kurta,3XL,Shipped,1,406.0,BENGALURU,KARNATAKA,False,108,2022,4,30,0,5,1,6.008813185442595,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3371-KR-XL,kurta,XL,Shipped,1,329.0,NAVI MUMBAI,MAHARASHTRA,True,14,2022,4,30,0,5,1,5.799092654460526,NAVI MUMBAI,1254
2022-04-30,Cancelled,Merchant,Amazon.in,Standard,J0341-DR-L,Western Dress,L,Unknown,0,753.33,PUDUCHERRY,PUDUCHERRY,False,270,2022,4,30,0,5,1,6.625829938042717,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3671-TU-XXXL,Top,3XL,Shipped,1,574.0,CHENNAI,TAMIL NADU,False,17,2022,4,30,0,5,1,6.354370040797351,CHENNAI,5226
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET264-KR-NP-XL,Set,XL,Shipped,1,824.0,GHAZIABAD,UTTAR PRADESH,False,136,2022,4,30,0,5,1,6.715383386334681,GHAZIABAD,1301
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0095-SET-L,Set,L,Shipped,1,653.0,CHANDIGARH,CHANDIGARH,False,75,2022,4,30,0,5,1,6.483107351457199,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405-KR-S,kurta,S,Shipped,1,399.0,HYDERABAD,TELANGANA,False,420,2022,4,30,0,5,1,5.991464547107982,HYDERABAD,7744
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,SET200-KR-NP-A-XXXL,Set,3XL,Cancelled,0,603.0,HYDERABAD,TELANGANA,False,16,2022,4,30,0,5,1,6.403574197934815,HYDERABAD,7744
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3461-KR-XXL,kurta,XXL,Shipped,1,363.0,Chennai,TAMIL NADU,False,35,2022,4,30,0,5,1,5.8971538676367405,Other,70164
